light_curve_id,kind,zooniverse_id,p_radius,p_period
639954,3,APH10872485,2.42,2.82
639955,3,APH10248967,3.72,9.73
639956,3,APH10973226,2.67,4.02
639957,3,APH10798361,6.49,4.37
639958,3,APH10609410,2.01,2.82
639959,3,APH10239020,9.1,4.86
639960,3,APH10542498,6.23,7.99
639961,3,APH10823387,2.51,5.23
639962,3,APH10729124,3.5,5.66
639963,3,APH10530904,2.62,1.56
639964,3,APH10896044,4.06,1.7
639965,3,APH10593512,3.28,12.91
639966,3,APH10296549,8.3,12.64
639967,3,APH10194426,2.13,8.88
639968,3,APH10595970,5.54,14.74
639969,3,APH10405785,3.58,13.7
639970,3,APH10926577,2.31,1.12
639971,3,APH10463259,4.95,14.08
639972,3,APH10754786,4.02,5.35
639973,3,APH10571704,6.18,3.28
639974,3,APH10981583,6.13,14.3
639975,3,APH10725478,3.81,12.18
639976,3,APH10324874,3.31,3.84
639977,3,APH10759867,3.74,2.57
639978,3,APH10755870,4.39,2.19
639979,3,APH10501577,3.86,1.61
639980,3,APH10791409,6.05,1.52
639981,3,APH10921392,2.96,2.69
639982,3,APH10284933,8.59,5.08
639983,3,APH10795344,2.94,13.19
639984,3,APH10578900,2.5,12.83
639985,3,APH10255438,2.65,4.12
639986,3,APH10619616,2.82,7.95
639987,3,APH10524894,2.13,6.38
639988,3,APH10941516,5.32,3.61
639989,3,APH10751410,9.74,14.96
639990,3,APH10954909,5.82,0.59
639991,3,APH10875411,2.32,3.9
639992,3,APH10924674,2.35,1.23
639993,3,APH10768492,4.88,1.94
639994,3,APH10181258,4.92,11.13
639995,3,APH10247992,6.63,11.44
639996,3,APH10305528,5.06,7.36
639997,3,APH10757329,6.42,6.95
639998,3,APH10288169,12.93,2.92
639999,3,APH10220479,3.07,8.22
640000,3,APH10680318,3.34,1.34
640001,3,APH10800658,6.82,3.37
640002,3,APH10866421,5.58,9.57
640003,3,APH10784621,2.21,4.36
640004,3,APH10792029,5.57,2.16
640005,3,APH10879160,5.87,10.87
640006,3,APH10231122,2,13.69
640007,3,APH10370797,4.33,9.81
640008,3,APH10738804,13.89,3.78
640009,3,APH10620951,5.81,5.95
640010,3,APH10385762,6.56,4.58
640011,3,APH10778535,5.43,14.08
640012,3,APH10181807,2.63,0.82
640013,3,APH10594041,9.69,2.87
640014,3,APH10499828,12.19,2.52
640015,3,APH10708821,4.27,9.03
640016,3,APH10669002,9.95,10.32
640017,3,APH10668619,9.9,13.73
640018,3,APH10990050,10.39,2.82
640019,3,APH10893292,13.5,6.27
640020,3,APH10500595,4.95,10.43
640021,3,APH10671043,6.83,5.21
640022,3,APH10303519,9.35,10.21
640023,3,APH10430644,2.93,1.56
640024,3,APH10437005,14.69,6.82
640025,3,APH10984843,3.31,7.23
640026,3,APH10845008,3.95,12.53
640027,3,APH10722807,2.34,12.48
640028,3,APH10477696,6.12,1.84
640029,3,APH10326544,13.87,0.6
640030,3,APH10822887,2.03,7.32
640031,3,APH10240391,11.62,8.12
